generation,train_best,train_median,train_worst,val_best,gen_time_s,total_time_s,dm_active
0,7689.88,-10000.00,-89757.80,2758.39,16.73,16.73,0
1,9919.92,-2673.54,-89365.22,4206.49,13.93,31.00,0
2,9919.92,-82.70,-88938.05,4206.49,14.21,45.53,0
3,11592.93,1009.34,-89220.27,4206.49,12.07,57.96,0
4,12151.21,2094.18,-85544.34,4206.49,11.43,69.67,0
5,12151.21,2790.24,-86760.99,4356.48,11.53,81.47,0
6,12816.35,3286.20,-87845.59,5188.38,12.37,94.11,0
7,12816.35,3678.18,-85432.45,5188.38,11.32,105.68,0
8,13797.31,4128.91,-89380.72,5188.38,11.36,117.31,0
9,14144.59,4568.15,-85953.68,5217.81,11.68,129.25,0
10,15457.02,5085.12,-87988.88,6714.62,11.45,140.96,0
11,15457.02,5501.39,-87234.59,6714.62,11.18,152.40,0
12,25569.44,5810.27,-87611.98,6714.62,10.99,163.64,0
13,25569.44,5916.59,-85142.86,6714.62,11.23,175.12,0
14,25569.44,6117.41,-88686.24,6714.62,11.51,186.88,0
15,26181.36,6064.70,-88727.05,6714.62,11.91,199.00,0
16,28559.84,6386.93,-89278.97,6714.62,11.56,210.81,0
17,28559.84,6554.26,-86609.52,6714.62,11.77,222.82,0
18,29622.79,7212.72,-88218.11,7200.00,11.16,234.24,0
19,31248.07,8319.52,-87271.02,6074.50,10.68,245.16,0
20,32679.88,9380.10,-88659.27,6074.50,11.39,256.81,0
21,33674.83,10611.44,-87119.38,6208.68,11.67,268.71,0
22,33674.83,12116.66,-88070.30,6208.68,10.79,279.75,0
23,33674.83,13606.06,-88221.15,6562.77,12.17,292.16,0
24,33674.83,16213.11,-88309.79,6053.70,11.70,304.10,0
25,33674.83,19276.97,-88700.66,6053.70,11.16,315.52,0
26,34652.70,21470.20,-87110.39,6053.70,11.02,326.79,0
27,34652.70,23340.31,-88451.01,6048.63,11.34,338.39,0
28,35408.97,24819.62,-87432.59,5777.63,10.81,349.45,0
29,35408.97,26236.06,-87123.19,5866.36,10.72,360.44,0
30,35524.64,27536.41,-87627.16,5866.36,10.58,371.27,1
31,35961.86,28575.67,-85613.07,5866.36,10.47,382.00,1
32,36259.41,29450.73,-89661.12,5641.96,11.09,393.35,1
33,36259.41,30254.86,-87852.65,5641.96,10.60,404.20,1
34,37341.58,30910.20,-87334.99,5522.67,10.60,415.05,1
35,39191.70,31422.75,-88638.89,5286.44,10.62,425.91,1
36,39191.70,31932.47,-86893.89,5286.44,10.56,436.70,1
37,39191.70,32480.84,-87288.60,5286.44,10.52,447.46,1
38,39191.70,33001.69,-86874.25,5171.32,10.51,458.23,1
39,39782.03,33842.17,-87675.59,5284.61,10.53,469.00,1
40,39782.03,34844.11,-85572.48,5284.61,10.62,479.87,1
41,39940.77,35596.28,-88069.60,5284.61,10.44,490.56,1
42,40728.52,36110.96,-88132.60,5337.93,10.70,501.50,1
43,43266.53,36590.47,-87571.77,5337.93,10.39,512.07,1
44,43266.53,36867.99,-87077.98,5337.93,10.46,522.77,1
45,43266.53,37153.91,-86396.41,5336.14,10.73,533.77,1
46,45745.98,37573.15,-88026.45,5336.14,10.38,544.37,1
47,45745.98,37771.42,-86963.66,5337.93,10.48,555.09,1
48,45745.98,37927.93,-86847.12,5337.93,10.59,565.92,1
49,45745.98,38002.59,-85986.34,5337.93,10.49,576.62,1
50,45745.98,38051.07,-88233.49,5337.93,10.46,587.33,1
51,45745.98,38051.07,-87576.88,5337.93,10.54,598.10,1
52,45745.98,38097.20,-87929.23,5337.93,10.55,608.88,1
53,45745.98,38051.07,-88009.95,5337.93,10.45,619.58,1
