generation,train_best,train_median,train_worst,val_best,gen_time_s,total_time_s,dm_active
0,7689.88,-10000.00,-89757.80,2758.39,12.40,12.40,0
1,9919.92,-2673.54,-89365.22,4206.49,9.12,21.75,0
2,9919.92,-82.70,-88938.05,4206.49,9.99,31.95,0
3,11592.93,1009.34,-89220.27,4206.49,11.01,43.19,0
4,12151.21,2094.18,-85544.34,4206.49,11.04,54.50,0
5,12151.21,2790.24,-86760.99,4356.48,11.57,66.34,0
6,12816.35,3286.20,-87845.59,5188.38,10.96,77.53,0
7,12816.35,3678.18,-85432.45,5188.38,10.87,88.62,0
8,13797.31,4128.91,-89380.72,5188.38,10.85,99.72,0
9,14144.59,4568.15,-85953.68,5217.81,10.83,110.80,0
10,15457.02,5085.12,-87988.88,6714.62,10.77,121.80,0
11,15457.02,5501.39,-87234.59,6714.62,10.70,132.75,0
12,25569.44,5810.27,-87611.98,6714.62,10.67,143.67,0
13,25569.44,5916.59,-85142.86,6714.62,10.61,154.52,0
14,25569.44,6117.41,-88686.24,6714.62,10.96,165.72,0
15,26181.36,6064.70,-88727.05,6714.62,10.50,176.43,0
16,28559.84,6386.93,-89278.97,6714.62,10.70,187.37,0
17,28559.84,6554.26,-86609.52,6714.62,10.50,198.08,0
18,29622.79,7212.72,-88218.11,7200.00,10.53,208.86,0
19,31248.07,8319.52,-87271.02,6074.50,10.49,219.61,0
20,32679.88,9380.10,-88659.27,6074.50,10.49,230.34,0
21,33674.83,10611.44,-87119.38,6208.68,10.52,241.09,0
22,33674.83,12116.66,-88070.30,6208.68,10.59,251.93,0
23,33674.83,13606.06,-88221.15,6562.77,10.43,262.62,0
24,33674.83,16213.11,-88309.79,6053.70,10.41,273.28,0
25,33674.83,19276.97,-88700.66,6053.70,10.64,284.17,0
26,34652.70,21470.20,-87110.39,6053.70,10.53,294.95,0
27,34652.70,23340.31,-88451.01,6048.63,10.41,305.58,0
28,35408.97,24819.62,-87432.59,5777.63,10.36,316.19,0
29,35408.97,26236.06,-87123.19,5866.36,10.38,326.81,0
30,35524.64,27536.41,-87627.16,5866.36,10.49,337.55,1
31,35961.86,28575.47,-85613.07,5866.36,10.36,348.14,1
32,36805.30,29511.88,-89661.12,5641.96,10.37,358.76,1
33,37478.00,30137.24,-88802.00,5641.96,10.44,369.46,1
34,37478.00,30898.68,-88390.98,5286.44,10.36,380.07,1
35,39330.02,31403.93,-86924.58,5286.44,10.40,390.70,1
36,39330.02,32027.88,-87679.13,5284.61,10.39,401.33,1
37,39330.02,32562.08,-87288.60,5286.44,10.68,412.27,1
38,39973.61,32995.84,-87669.77,5286.44,10.46,422.93,1
39,39973.61,33902.65,-87675.59,5286.44,10.37,433.54,1
40,39973.61,34969.70,-86899.81,5286.44,10.32,444.11,1
41,40117.59,35646.00,-89376.86,5286.44,10.37,454.73,1
42,42232.46,36227.84,-88132.60,5277.88,10.34,465.31,1
43,42232.46,36621.17,-86065.85,5277.88,10.33,475.88,1
44,42775.09,36913.65,-87751.80,5277.88,10.46,486.59,1
45,43211.64,37187.62,-87985.05,5337.93,10.49,497.29,1
46,44794.16,37576.44,-88026.45,5329.55,10.36,507.87,1
47,46289.50,37770.05,-87756.54,5329.55,10.45,518.56,1
48,46289.50,37940.33,-86900.37,5329.55,10.63,529.41,1
49,46289.50,38002.59,-88499.05,5329.55,10.33,539.98,1
50,46289.50,38002.59,-88684.67,5329.55,10.30,550.52,1
51,46289.50,37918.08,-87840.50,5337.93,10.31,561.08,1
52,46289.50,37935.16,-85994.66,5329.55,10.45,571.77,1
53,46748.35,38002.59,-88009.95,5329.55,10.29,582.27,1
54,47242.79,37940.33,-88601.05,5329.55,10.33,592.84,1
55,48461.05,38051.07,-89472.41,5538.42,10.43,603.51,1
56,48852.68,38628.35,-87536.80,5538.42,10.53,614.28,1
57,48904.95,39121.63,-86540.82,5538.42,10.29,624.78,1
58,49205.89,39234.88,-87316.78,5337.93,10.47,635.50,1
59,51323.10,39324.05,-89083.39,5337.93,10.36,646.06,1
60,51323.10,39642.32,-87410.43,5337.93,10.45,656.78,1
61,51323.10,40086.00,-87781.52,5337.93,10.44,667.46,1
62,51323.10,40608.60,-86625.62,5337.93,10.37,678.04,1
63,51323.10,40985.82,-86881.84,5329.55,10.28,688.54,1
64,51720.09,41083.75,-86909.87,5317.89,10.33,699.11,1
65,51720.09,41460.82,-87421.12,5317.89,10.31,709.66,1
66,51720.09,41665.39,-85492.80,5329.55,10.28,720.18,1
67,53508.69,42019.93,-85423.91,5329.55,10.34,730.75,1
68,53508.69,42493.07,-86983.84,5329.55,10.28,741.27,1
69,54628.22,42837.39,-88222.78,5329.55,10.28,751.80,1
70,54628.22,43286.01,-88094.09,5329.55,10.39,762.44,1
71,54628.22,43611.35,-88132.69,5329.55,10.41,773.05,1
72,54628.22,43710.63,-87882.27,5337.93,10.29,783.55,1
73,55036.79,43954.88,-85046.79,5337.93,10.44,794.24,1
74,55357.48,44169.43,-87509.69,5337.93,10.32,804.78,1
75,55357.48,44276.88,-88139.87,5337.93,10.61,815.66,1
76,55357.48,44384.51,-86356.40,5337.93,10.29,826.19,1
77,55357.48,44558.34,-86512.64,5337.93,10.29,836.71,1
78,55357.48,44662.09,-85744.66,5337.93,10.29,847.25,1
79,55357.48,44783.02,-88188.34,5337.93,10.49,857.98,1
80,55361.21,45140.43,-88959.59,5337.93,10.44,868.66,1
81,55386.07,45706.62,-88398.70,5337.93,10.32,879.21,1
82,55386.07,46069.01,-85342.12,5337.93,10.28,889.73,1
83,55462.40,46733.58,-87561.62,5337.93,10.32,900.28,1
84,55544.29,47444.38,-88197.05,5336.14,10.38,910.89,1
85,55544.29,48045.33,-84718.26,5337.93,10.23,921.32,1
86,55823.15,48971.77,-85353.80,5337.93,10.37,931.93,1
87,55930.93,49405.03,-85205.31,5337.93,10.25,942.39,1
88,55930.93,49874.55,-88696.43,5337.93,10.30,952.93,1
89,55982.13,50530.63,-88370.98,5337.93,10.42,963.59,1
90,56051.38,50953.68,-89062.33,5337.93,10.26,974.06,1
91,56224.98,51306.52,-85943.99,5337.93,10.27,984.57,1
92,56224.98,51449.65,-87438.55,5337.93,10.26,995.07,1
93,56224.98,51295.37,-86839.24,5337.93,10.25,1005.55,1
94,56611.66,51333.66,-85831.92,5337.93,10.26,1016.05,1
95,56611.66,51386.15,-86953.56,5337.93,10.29,1026.57,1
96,56611.66,51666.88,-87530.85,5337.93,10.35,1037.16,1
97,56611.66,51796.05,-85331.89,5337.93,10.35,1047.71,1
98,56611.66,51926.30,-86603.02,5337.93,10.35,1058.27,1
99,56665.38,52288.95,-87340.38,5337.93,10.47,1068.96,1
100,56781.02,52599.18,-87923.09,5337.93,10.25,1079.45,1
101,56977.14,53103.93,-87030.76,5337.93,10.28,1089.97,1
102,56977.14,53023.13,-87110.25,5337.93,10.24,1100.45,1
103,56977.14,53795.01,-87142.41,5337.93,10.30,1110.99,1
104,57222.41,54018.87,-86280.65,5337.93,10.30,1121.54,1
105,57222.41,54939.95,-87377.79,5337.93,10.26,1132.04,1
106,57222.41,55140.09,-87968.74,5337.93,10.25,1142.52,1
107,57222.41,54707.89,-87172.11,5337.93,10.42,1153.19,1
108,57282.02,54605.43,-87296.58,5337.93,10.41,1163.85,1
109,57282.02,54963.29,-87482.38,5337.93,10.24,1174.29,1
110,57290.17,55869.76,-87498.11,5337.93,10.24,1184.76,1
111,57301.70,56389.16,-88672.86,5337.93,10.27,1195.27,1
112,57301.70,56569.29,-85880.14,5337.93,10.23,1205.75,1
113,57311.91,56715.23,-86076.74,5337.93,10.24,1216.23,1
114,57311.91,56794.84,-86536.82,5337.93,10.21,1226.69,1
115,57318.57,56918.72,-85009.05,4663.70,10.39,1237.33,1
116,57372.41,56977.14,-87231.16,4663.70,10.26,1247.80,1
117,57486.01,56977.14,-87611.20,4663.70,10.23,1258.26,1
118,57486.01,56986.52,-86170.18,4663.70,10.36,1268.86,1
119,57486.01,56998.02,-88103.02,4663.70,10.38,1279.48,1
120,57486.01,56977.14,-86264.89,4663.70,10.45,1290.17,1
121,57502.89,56977.14,-87749.56,4663.70,10.30,1300.69,1
122,57502.89,56977.14,-88921.93,4663.70,10.21,1311.15,1
123,57502.89,56986.52,-89491.49,4663.70,10.21,1321.60,1
124,57502.89,56998.02,-87079.68,4663.70,10.25,1332.09,1
125,57502.89,56998.02,-88340.95,4663.70,10.23,1342.57,1
126,57502.89,56998.02,-87078.02,4663.70,10.27,1353.08,1
127,57502.89,57014.89,-85279.52,4663.70,10.26,1363.57,1
128,57502.89,57014.89,-85649.02,4663.70,10.40,1374.21,1
129,57502.89,57014.89,-88421.09,4663.70,11.51,1385.98,1
130,57502.89,57014.89,-88158.91,4663.70,11.08,1397.37,1
131,57502.89,57014.89,-84277.24,4663.70,10.45,1408.07,1
132,57535.32,57014.89,-86057.44,4477.95,10.38,1418.70,1
133,57535.32,57014.89,-88336.28,4477.95,10.49,1429.42,1
134,57535.32,57014.89,-86439.09,4477.95,10.52,1440.20,1
135,57566.16,57014.89,-88222.98,4477.95,10.23,1450.63,1
136,57566.16,57014.89,-86991.52,4477.95,10.31,1461.19,1
137,57566.16,57014.89,-86092.25,4477.95,10.32,1471.75,1
138,57566.16,56998.02,-88712.49,4477.95,10.26,1482.23,1
139,57578.67,56944.21,-87474.60,4477.95,10.31,1492.78,1
140,57586.19,56998.02,-87950.09,4477.95,10.28,1503.27,1
141,57587.37,57318.57,-86007.80,4477.95,10.22,1513.73,1
142,57587.75,57486.01,-86184.27,4477.95,10.21,1524.17,1
143,57610.95,57491.34,-87411.38,4477.95,10.35,1534.76,1
144,57610.95,57502.89,-86951.11,4477.95,10.33,1545.29,1
145,57612.27,57502.89,-87394.50,4477.95,10.29,1555.79,1
146,57616.42,57535.32,-83909.53,4477.95,10.23,1566.23,1
147,57641.73,57566.16,-87697.80,4477.95,10.31,1576.78,1
148,57641.73,57566.16,-86558.13,4477.95,10.19,1587.17,1
149,57641.73,57566.16,-85285.32,4477.95,10.26,1597.67,1
150,57641.73,57566.16,-88654.22,4477.95,10.23,1608.13,1
151,57643.02,57566.16,-85816.66,4477.95,10.28,1618.65,1
152,57645.56,57583.83,-86972.57,4477.95,10.26,1629.13,1
153,57654.20,57600.64,-86233.39,4481.23,10.21,1639.57,1
154,57654.20,57610.39,-88685.91,4477.95,10.20,1650.01,1
155,57654.20,57611.88,-89158.48,4477.95,10.26,1660.50,1
156,57655.48,57612.27,-88069.20,4477.95,10.20,1670.94,1
157,57664.18,57616.77,-89155.41,4477.95,10.23,1681.41,1
158,57675.21,57622.91,-86595.99,4477.95,10.27,1691.91,1
159,57687.68,57624.35,-85529.80,4477.95,10.21,1702.36,1
160,57687.68,57627.49,-88569.17,4477.95,10.29,1712.89,1
161,57694.92,57636.95,-87361.46,4477.95,10.22,1723.31,1
162,57694.92,57642.41,-84748.36,4477.95,10.17,1733.73,1
163,57695.47,57649.45,-87166.34,1463.79,10.19,1744.16,1
164,57695.47,57654.20,-87572.20,1463.79,10.27,1754.67,1
165,57695.47,57655.48,-88445.47,1463.79,10.27,1765.18,1
166,57695.47,57667.71,-88587.95,1463.79,10.24,1775.66,1
167,57698.09,57683.11,-86393.77,1468.12,10.18,1786.08,1
168,57698.09,57693.64,-88658.32,1468.12,10.17,1796.49,1
