generation,train_best,train_median,train_worst,val_best,gen_time_s,total_time_s,dm_active
0,7689.88,-10000.00,-89757.80,2758.39,12.25,12.25,0
1,9919.92,-2673.54,-89365.22,4206.49,8.71,21.18,0
2,9919.92,-82.70,-88938.05,4206.49,8.78,30.18,0
3,11592.93,1009.34,-89220.27,4206.49,8.78,39.18,0
4,12151.21,2094.18,-85544.34,4206.49,8.82,48.22,0
5,12151.21,2790.24,-86760.99,4356.48,11.03,59.50,0
6,12816.35,3286.20,-87845.59,5188.38,10.82,70.54,0
7,12816.35,3678.18,-85432.45,5188.38,10.87,81.66,0
8,13797.31,4128.91,-89380.72,5188.38,10.80,92.71,0
9,14144.59,4568.15,-85953.68,5217.81,11.00,103.96,0
10,15457.02,5085.12,-87988.88,6714.62,10.74,114.91,0
11,15457.02,5501.39,-87234.59,6714.62,10.68,125.84,0
12,25569.44,5810.27,-87611.98,6714.62,10.66,136.75,0
13,25569.44,5916.59,-85142.86,6714.62,10.66,147.66,0
14,25569.44,6117.41,-88686.24,6714.62,10.56,158.47,0
15,26181.36,6064.70,-88727.05,6714.62,10.59,169.32,0
16,28559.84,6386.93,-89278.97,6714.62,10.68,180.22,0
17,28559.84,6554.26,-86609.52,6714.62,10.45,190.88,0
18,29622.79,7212.72,-88218.11,7200.00,10.42,201.56,0
19,31248.07,8319.52,-87271.02,6074.50,10.42,212.24,0
20,32679.88,9380.10,-88659.27,6074.50,10.37,222.86,0
21,33674.83,10611.44,-87119.38,6208.68,10.43,233.54,0
22,33674.83,12116.66,-88070.30,6208.68,10.67,244.47,0
23,33674.83,13606.06,-88221.15,6562.77,10.49,255.21,0
24,33674.83,16213.11,-88309.79,6053.70,10.58,266.03,0
25,33674.83,19276.97,-88700.66,6053.70,10.55,276.83,0
26,34652.70,21470.20,-87110.39,6053.70,10.35,287.38,0
27,34652.70,23340.31,-88451.01,6048.63,10.43,298.06,0
28,35408.97,24819.62,-87432.59,5777.63,10.49,308.80,0
