"generation","train_best","train_median","train_worst","val_best","gen_time_s","total_time_s","dm_active"
"0","7689.88","-10000.00","-89757.80","2758.39","9.33","9.34","0"
"1","9919.92","-2673.54","-89365.22","4206.49","6.80","16.35","0"
"2","9919.92","-82.70","-88938.05","4206.49","6.85","23.41","0"
"3","11592.93","1009.34","-89220.27","4206.49","6.99","30.61","0"
"4","12151.21","2094.18","-85544.34","4206.49","7.03","37.85","0"
"5","12151.21","2790.24","-86760.99","4356.48","7.12","45.17","0"
"6","12816.35","3286.20","-87845.59","5188.38","7.16","52.53","0"
"7","12816.35","3678.18","-85432.45","5188.38","7.13","59.87","0"
"8","13797.31","4128.91","-89380.72","5188.38","7.17","67.23","0"
"9","14144.59","4568.15","-85953.68","5217.81","7.14","74.57","0"
"10","15457.02","5085.12","-87988.88","6714.62","7.15","81.91","0"
"11","15457.02","5501.39","-87234.59","6714.62","7.12","89.23","0"
"12","25569.44","5810.27","-87611.98","6714.62","7.13","96.55","0"
"13","25569.44","5916.59","-85142.86","6714.62","7.11","103.85","0"
"14","25569.44","6117.41","-88686.24","6714.62","7.06","111.10","0"
"15","26181.36","6064.70","-88727.05","6714.62","7.10","118.40","0"
"16","28559.84","6386.93","-89278.97","6714.62","7.04","125.62","0"
"17","28559.84","6554.26","-86609.52","6714.62","7.03","132.84","0"
"18","29622.79","7212.72","-88218.11","7200.00","7.03","140.06","0"
"19","31248.07","8319.52","-87271.02","6074.50","7.02","147.28","0"
"20","32679.88","9380.10","-88659.27","6074.50","6.97","154.45","0"
"21","33674.83","10611.44","-87119.38","6208.68","7.09","161.73","0"
"22","33674.83","12116.66","-88070.30","6208.68","7.00","168.91","0"
"23","33674.83","13606.06","-88221.15","6562.77","7.12","176.22","0"
"24","33674.83","16213.11","-88309.79","6053.70","7.01","183.42","0"
"25","33674.83","19276.97","-88700.66","6053.70","6.99","190.60","0"
"26","34652.70","21470.20","-87110.39","6053.70","7.01","197.80","0"
"27","34652.70","23340.31","-88451.01","6048.63","6.99","204.98","0"
"28","35408.97","24819.62","-87432.59","5777.63","7.01","212.19","0"
"29","35408.97","26236.06","-87123.19","5866.36","7.01","219.39","0"
"30","35524.64","27536.41","-87627.16","5866.36","7.01","226.58","1"
"31","35961.86","28575.67","-85613.07","5866.36","6.98","233.75","1"
"32","36259.41","29450.73","-89661.12","5641.96","7.02","240.96","1"
"33","36572.42","30227.36","-87852.65","5641.96","7.21","248.36","1"
"34","36572.42","30933.25","-87971.16","5722.21","7.11","255.67","1"
"35","37525.88","31355.19","-86806.45","5286.44","7.01","262.87","1"
"36","37720.02","31969.99","-86893.89","5286.44","7.00","270.05","1"
"37","37935.16","32562.18","-88062.96","5286.44","7.02","277.27","1"
"38","38940.59","33034.47","-87919.78","5141.15","7.00","284.46","1"
"39","39431.65","33984.90","-88736.86","5219.50","7.01","291.65","1"
"40","41318.09","34998.43","-87086.95","5286.44","7.05","298.89","1"
"41","41318.09","35666.88","-88572.55","5317.89","6.99","306.07","1"
"42","41318.09","36252.05","-87715.21","5317.89","7.01","313.26","1"
"43","41318.09","36701.66","-88181.90","5317.89","7.05","320.50","1"
"44","42624.95","36962.40","-89688.04","5333.74","7.01","327.70","1"
"45","42819.39","37343.00","-89107.38","5337.93","7.02","334.91","1"
"46","42819.39","37671.66","-89814.12","5516.16","7.04","342.14","1"
"47","45423.89","37891.88","-87714.72","5337.93","7.07","349.40","1"
"48","45423.89","37966.52","-87062.26","5219.50","7.05","356.63","1"
"49","45423.89","38002.59","-88363.23","5192.12","6.99","363.81","1"
"50","46369.57","38051.07","-87097.44","5317.89","6.99","370.99","1"
"51","46369.57","38040.70","-87773.26","5336.14","7.05","378.23","1"
"52","46369.57","38051.07","-87006.12","5337.93","7.01","385.43","1"
"53","47801.02","38051.07","-87835.46","5337.93","7.02","392.65","1"
"54","47801.02","37966.52","-86531.15","5337.93","7.00","399.83","1"
"55","47801.02","38002.59","-87793.53","5337.93","7.07","407.09","1"
"56","48328.13","38051.07","-88564.29","5337.93","7.02","414.30","1"
"57","48361.08","38801.34","-86663.76","5337.93","7.02","421.52","1"
"58","48435.50","39516.06","-87330.15","5337.93","6.98","428.69","1"
"59","48435.50","39953.87","-88028.26","5337.93","7.06","435.94","1"
"60","48435.50","40078.59","-88287.86","5337.93","7.00","443.13","1"
"61","48656.13","40046.00","-88347.03","5337.93","7.01","450.33","1"
"62","48809.00","40197.38","-86560.31","5337.93","7.04","457.56","1"
"63","48899.14","40347.92","-85994.37","5337.93","7.00","464.75","1"
"64","48931.48","40477.80","-89042.36","5337.93","7.05","471.99","1"
"65","51375.38","40612.48","-89666.97","5337.93","7.00","479.18","1"
"66","51375.38","40771.56","-86587.10","5337.93","7.04","486.41","1"
"67","51919.64","40949.76","-88874.80","5337.93","7.05","493.65","1"
"68","51919.64","41096.12","-86146.05","5337.93","7.02","500.86","1"
"69","51919.64","41249.46","-87183.47","5337.93","7.02","508.07","1"
"70","51919.64","41640.89","-86642.36","5337.93","7.03","515.28","1"
"71","51919.64","41783.70","-87339.19","5337.93","7.05","522.52","1"
"72","51919.64","41995.37","-87882.27","5337.93","7.03","529.74","1"
"73","51919.64","42210.40","-85153.33","5337.93","7.08","537.01","1"
"74","51919.64","42264.35","-87246.71","5337.93","7.00","544.19","1"
"75","51919.64","42321.57","-85623.94","5337.93","7.04","551.42","1"
"76","51919.64","42274.38","-87358.04","5337.93","7.03","558.65","1"
"77","51919.64","42298.95","-88430.47","5337.93","7.00","565.83","1"
"78","51919.64","42291.41","-88096.66","5337.93","7.03","573.05","1"
"79","51919.64","42320.21","-86707.03","5337.93","7.04","580.29","1"
"80","51919.64","42307.48","-87114.82","5337.93","7.01","587.48","1"
"81","51919.64","42400.91","-88813.52","5337.93","7.06","594.74","1"
"82","52087.68","42338.07","-86226.43","5337.93","7.02","601.95","1"
"83","52087.68","42403.25","-86787.66","5337.93","7.03","609.17","1"
"84","52087.68","42602.53","-87470.25","5337.93","7.05","616.40","1"
"85","52435.50","42689.00","-84718.26","5337.93","7.06","623.66","1"
"86","53451.95","42758.48","-87899.17","5337.93","7.22","631.06","1"
"87","53451.95","42950.56","-87674.67","5337.93","7.11","638.36","1"
"88","53451.95","43297.62","-86192.22","5337.93","6.99","645.54","1"
