generation,train_best,train_median,train_worst,val_best,gen_time_s,total_time_s,dm_active
0,7689.88,-10000.00,-89757.80,2758.39,8.99,8.99,0
1,9919.92,-2673.54,-89365.22,4206.49,7.13,16.33,0
2,9919.92,-82.70,-88938.05,4206.49,8.58,25.13,0
3,11592.93,1009.34,-89220.27,4206.49,8.69,34.05,0
4,12151.21,2094.18,-85544.34,4206.49,8.69,42.95,0
5,12151.21,2790.24,-86760.99,4356.48,8.65,51.80,0
6,12816.35,3286.20,-87845.59,5188.38,8.69,60.70,0
7,12816.35,3678.18,-85432.45,5188.38,8.70,69.61,0
8,13797.31,4128.91,-89380.72,5188.38,8.72,78.54,0
9,14144.59,4568.15,-85953.68,5217.81,8.65,87.40,0
10,15457.02,5085.12,-87988.88,6714.62,8.66,96.26,0
11,15457.02,5501.39,-87234.59,6714.62,8.57,105.04,0
12,25569.44,5810.27,-87611.98,6714.62,8.56,113.80,0
13,25569.44,5916.59,-85142.86,6714.62,8.65,122.65,0
14,25569.44,6117.41,-88686.24,6714.62,8.50,131.35,0
15,26181.36,6064.70,-88727.05,6714.62,8.53,140.07,0
16,28559.84,6386.93,-89278.97,6714.62,8.66,148.93,0
17,28559.84,6554.26,-86609.52,6714.62,8.47,157.60,0
18,29622.79,7212.72,-88218.11,7200.00,8.46,166.26,0
19,31248.07,8319.52,-87271.02,6074.50,8.32,174.78,0
20,32679.88,9380.10,-88659.27,6074.50,8.39,183.38,0
21,33674.83,10611.44,-87119.38,6208.68,8.34,191.92,0
22,33674.83,12116.66,-88070.30,6208.68,8.42,200.54,0
23,33674.83,13606.06,-88221.15,6562.77,8.33,209.06,0
24,33674.83,16213.11,-88309.79,6053.70,8.37,217.63,0
25,33674.83,19276.97,-88700.66,6053.70,8.34,226.18,0
26,34652.70,21470.20,-87110.39,6053.70,8.31,234.69,0
27,34652.70,23340.31,-88451.01,6048.63,8.74,243.63,0
28,35408.97,24819.62,-87432.59,5777.63,8.65,252.49,0
29,35408.97,26236.06,-87123.19,5866.36,8.40,261.09,0
30,35524.64,27536.41,-87627.16,5866.36,8.47,269.76,1
31,35961.86,28575.67,-85613.07,5866.36,8.39,278.34,1
32,36300.66,29440.72,-89661.12,5641.96,8.33,286.88,1
33,37569.32,30221.32,-87852.65,5641.96,8.33,295.40,1
34,37569.32,30862.47,-87228.05,5522.67,8.38,303.97,1
35,37569.32,31444.28,-86806.45,5286.44,8.35,312.52,1
36,38793.37,32010.99,-87280.56,5286.44,8.37,321.09,1
37,39762.36,32573.02,-89112.91,5286.44,8.31,329.61,1
38,41268.42,33148.13,-89048.59,5286.44,8.35,338.16,1
39,41268.42,33969.84,-88736.86,5383.05,8.37,346.72,1
40,41268.42,35024.98,-87038.20,5286.44,8.40,355.32,1
41,41268.42,35662.31,-88232.43,5286.44,8.43,363.95,1
42,42228.31,36217.79,-88306.12,5286.44,8.38,372.52,1
43,42228.31,36621.17,-88428.09,5286.44,8.33,381.05,1
44,42597.97,36896.66,-86967.41,5337.93,8.30,389.54,1
45,42597.97,37187.62,-86093.52,5337.93,8.34,398.08,1
46,43799.66,37583.77,-88818.77,5337.93,8.29,406.57,1
