generation,train_best,train_median,train_worst,val_best,gen_time_s,total_time_s,dm_active
0,7689.88,-10000.00,-89757.80,2758.39,13.72,13.73,0
1,9919.92,-2673.54,-89365.22,4206.49,11.46,25.46,0
2,9919.92,-82.70,-88938.05,4206.49,11.29,37.06,0
3,11592.93,1009.34,-89220.27,4206.49,10.79,48.10,0
4,12151.21,2094.18,-85544.34,4206.49,11.10,59.48,0
5,12151.21,2790.24,-86760.99,4356.48,11.07,70.81,0
6,12816.35,3286.20,-87845.59,5188.38,10.65,81.72,0
7,12816.35,3678.18,-85432.45,5188.38,10.56,92.53,0
8,13797.31,4128.91,-89380.72,5188.38,10.57,103.34,0
9,14144.59,4568.15,-85953.68,5217.81,10.71,114.28,0
10,15457.02,5085.12,-87988.88,6714.62,10.77,125.26,0
11,15457.02,5501.39,-87234.59,6714.62,10.66,136.11,0
12,25569.44,5810.27,-87611.98,6714.62,10.41,146.76,0
13,25569.44,5916.59,-85142.86,6714.62,10.51,157.49,0
14,25569.44,6117.41,-88686.24,6714.62,10.40,168.07,0
15,26181.36,6064.70,-88727.05,6714.62,10.29,178.56,0
16,28559.84,6386.93,-89278.97,6714.62,10.26,189.04,0
17,28559.84,6554.26,-86609.52,6714.62,10.25,199.53,0
18,29622.79,7212.72,-88218.11,7200.00,10.17,209.89,0
19,31248.07,8319.52,-87271.02,6074.50,10.35,220.47,0
20,32679.88,9380.10,-88659.27,6074.50,10.22,230.91,0
21,33674.83,10611.44,-87119.38,6208.68,10.32,241.43,0
22,33674.83,12116.66,-88070.30,6208.68,10.51,252.16,0
23,33674.83,13606.06,-88221.15,6562.77,10.23,262.63,0
24,33674.83,16213.11,-88309.79,6053.70,10.34,273.17,0
25,33674.83,19276.97,-88700.66,6053.70,10.25,283.63,0
26,34652.70,21470.20,-87110.39,6053.70,10.35,294.21,0
27,34652.70,23340.31,-88451.01,6048.63,10.46,304.93,0
28,35408.97,24819.62,-87432.59,5777.63,10.20,315.37,0
29,35408.97,26236.06,-87123.19,5866.36,10.20,325.82,0
30,35524.64,27536.41,-87627.16,5866.36,10.31,336.38,1
31,35961.86,28575.67,-85613.07,5866.36,10.35,346.96,1
32,36259.41,29450.73,-89661.12,5641.96,10.21,357.40,1
33,36572.42,30227.36,-87852.65,5641.96,10.26,367.92,1
34,36733.65,30894.59,-87971.16,5722.21,10.26,378.42,1
35,37196.22,31395.84,-87880.34,5284.61,10.33,388.99,1
36,37775.48,31939.20,-86893.89,5383.05,10.13,399.37,1
37,38638.08,32526.09,-87194.81,5383.05,10.17,409.79,1
38,38638.08,33014.07,-86230.34,5141.15,10.16,420.18,1
39,38638.08,33940.98,-88736.86,5166.59,10.16,430.59,1
40,39019.05,34940.80,-87038.20,5260.46,10.20,441.04,1
41,41126.02,35626.98,-87510.37,5260.46,10.16,451.41,1
